Pitcher ,Pitch,Pitch,Location,Rls-spd,Brk-sln,Brk-hrz,Brk-vrt,Mvmt-sln,Mvmt-hrz,Mvmt-vrt,Number,Rls-sAz,Rls-sEl,,Plt-y,Plt-z,,Rls-x,Rls-y,Rls-z,Rls-vAz,Rls-vEl,Rls-vx,Rls-vy,Rls-vz,Rls-spn,Rls-sAz,Rls-sEl,Rls-bspn,Rls-sspn,Rls-lspn,Brk-x,Brk-y,Brk-z,Brk-spd,Brk-vAz,Brk-vEl,Brk-vx,Brk-vy,Brk-vz,Brk-spn,Brk-sAz,Brk-sEl,Brk-bspn,Brk-sspn,Brk-lspn,Brk-tme,Plt-x,Plt-y,Plt-z,Plt-spd,Plt-vAz,Plt-vEl,Plt-vx,Plt-vy,Plt-vz,Plt-spn,Plt-sAz,Plt-sEl,Plt-bspn,Plt-sspn,Plt-lspn,Plt-tme,Mvmt-hrz,Mvmt-vrt,Mvmt-sln,Brk-hrz,Brk-vrt,Brk-sln,Brk-len,Brk-ang,Brk-dip,Number,Performance,Spin-Q,Comments
Christ,Fast Ball,Strike,High_Center,98,10.9,1.2,-10.8,11.4,-6.7,9.3,18.6,-32.72,-19.16,,-3,38.11,,-56.5,0.62,3.31,-0.3,3.33,78.59,-0.44,4.57,2129.7,-32.72,-19.16,1077.9,-796.4,1655.1,-27.68,0.31,4.15,73.3,-0.91,-0.11,73.3,-1.16,-0.14,2122.4,-32.72,-19.16,1056.8,-693.2,1705,0.259,4.5,-3,38.11,68.9,-1.39,-4.01,68.73,-1.67,-4.82,2115.4,-32.72,-19.16,1039,-573.2,1751.3,0.525,-6.7,9.3,11.4,1.2,-10.8,10.9,27.6,3.5,-83.7,18.6,Outstanding,0.748,cHRIS_fb
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
